snapped_at,price,market_cap,total_volume
2021-07-22 00:00:00 UTC,3.020759989187101,27188886.310071647,3046901.7992493776
2021-07-23 00:00:00 UTC,3.0034166751644937,27273364.68875711,3233595.494020171
2021-07-24 00:00:00 UTC,3.0008895716280892,28496100.298690546,2130689.1942311935
2021-07-25 00:00:00 UTC,2.9930779253014475,28412828.230385084,1065196.1738021728
2021-07-26 00:00:00 UTC,2.9977351869405497,29094425.048127268,1752044.7005690825
2021-07-27 00:00:00 UTC,2.9752285257552473,29677711.998328384,4277708.540811155
2021-07-28 00:00:00 UTC,2.996413328835335,28557221.54109974,4416026.286357616
2021-07-29 00:00:00 UTC,3.004870148606335,28556495.04652078,4612490.135425758
2021-07-30 00:00:00 UTC,2.9997600864459213,29168650.503735226,1636677.014470704
2021-07-31 00:00:00 UTC,3.0164438263554687,30612447.30601394,2381240.122635465
2021-08-01 00:00:00 UTC,3.0100731258521463,30711499.519321337,1353357.4420296766
2021-08-02 00:00:00 UTC,2.996767580368659,32976498.01723855,4134300.6869440023
2021-08-03 00:00:00 UTC,3.012416265940737,33483784.453609012,3684226.14739445
2021-08-04 00:00:00 UTC,3.0331405333020194,33612748.724951394,12448959.608965522
2021-08-05 00:00:00 UTC,3.0143992896264717,39473468.6249068,8083337.216718198
2021-08-06 00:00:00 UTC,3.014289985166051,42825882.09972627,8394579.342041293
2021-08-07 00:00:00 UTC,3.0224118676196814,42298237.6858332,4799541.58563404
2021-08-08 00:00:00 UTC,3.026389753262958,49925695.28715069,5536841.604104013
2021-08-09 00:00:00 UTC,3.0317752370980786,50077445.140708245,5071401.544075762
2021-08-10 00:00:00 UTC,3.0225408608888618,50648009.33150648,6428238.477248215
2021-08-11 00:00:00 UTC,3.02273354008604,52374986.832265146,3554251.3488806984
2021-08-12 00:00:00 UTC,3.020333096449518,54038493.16463524,4877540.60483117
2021-08-13 00:00:00 UTC,3.030675053484707,54128301.656898,4359681.967340759
2021-08-14 00:00:00 UTC,3.0344708228726964,54522826.27903997,2589908.0592911663
2021-08-15 00:00:00 UTC,3.029410700969045,54784333.38587416,1577671.9607908386
2021-08-16 00:00:00 UTC,3.0159592147330336,56019042.64409222,2784293.754614068
2021-08-17 00:00:00 UTC,3.0215241856356383,55857825.17473962,2838468.616512482
2021-08-18 00:00:00 UTC,3.001499626160827,56760015.77959395,6557961.482114583
2021-08-19 00:00:00 UTC,3.0147472500597203,58446513.168865524,3813824.3623220446
2021-08-20 00:00:00 UTC,3.0254630820983164,59918615.21003048,3538349.086804515
2021-08-21 00:00:00 UTC,3.0085426659964982,60944748.66876176,3338733.3521101526
2021-08-22 00:00:00 UTC,2.9996486329233814,60272656.80679471,2423478.41121311
2021-08-23 00:00:00 UTC,3.0109870761218462,56756173.67506506,2236283.126788353
2021-08-24 00:00:00 UTC,3.014091164197326,57080408.95703187,2193725.329269145
2021-08-25 00:00:00 UTC,3.005137862299533,58759735.302992895,4121252.135472207
2021-08-26 00:00:00 UTC,3.009464935425852,58793322.626777574,2991475.030095437
2021-08-27 00:00:00 UTC,3.013039828081818,59663221.93449407,3366374.978513498
2021-08-28 00:00:00 UTC,3.019850643133882,59594410.063455775,4676993.684619815
2021-08-29 00:00:00 UTC,3.0225140798100925,59337186.891665325,2909422.2849187646
2021-08-30 00:00:00 UTC,3.009356714551241,59127076.182832465,1125822.4364700906
2021-08-31 00:00:00 UTC,3.0123918358063686,59292343.715650715,1843622.1993954636
2021-09-01 00:00:00 UTC,3.0298610674449913,59561547.06057483,2727129.160972286
2021-09-02 00:00:00 UTC,3.0141107275482724,60864027.90024973,7383315.224475683
2021-09-03 00:00:00 UTC,3.010653802996686,64778631.219007194,3202795.6418532217
2021-09-04 00:00:00 UTC,3.005489134131853,64623831.42521844,2770752.0089571495
2021-09-05 00:00:00 UTC,3.010023618130821,63497630.9584628,2662720.811442665
2021-09-06 00:00:00 UTC,3.0190808709272146,63114300.99656431,718255.3216631961
2021-09-07 00:00:00 UTC,3.017616376096573,62468873.35678934,2319288.113902127
2021-09-08 00:00:00 UTC,3.0207270431115933,60378698.797389455,7905829.175336475
2021-09-09 00:00:00 UTC,3.0029382876192003,59478179.99746733,3650911.5755186575
2021-09-10 00:00:00 UTC,3.016803751820155,59554120.05402977,1931295.6191840556
2021-09-11 00:00:00 UTC,3.0212940344077452,58737360.302940644,2718077.800333483
2021-09-12 00:00:00 UTC,3.0167258512410497,55443998.076829344,3317067.102619629
2021-09-13 00:00:00 UTC,3.0216062082605637,55011104.14033288,5656460.005465426
2021-09-14 00:00:00 UTC,3.031781402040786,55210911.825534895,2523857.7845051987
2021-09-15 00:00:00 UTC,3.0095239002698944,54715564.40052851,2030127.7384180028
2021-09-16 00:00:00 UTC,3.018189326555037,54434315.93025229,1310554.0880421712
2021-09-17 00:00:00 UTC,3.023842288205348,54508813.119625494,1726659.6359283086
2021-09-18 00:00:00 UTC,3.013321463941851,54390772.26912164,2352295.2886543535
2021-09-19 00:00:00 UTC,3.010515098465645,54510408.133602604,1448892.2345281672
2021-09-20 00:00:00 UTC,3.016331858829389,54607632.10519361,925029.8810392943
2021-09-21 00:00:00 UTC,2.9805217518635376,53283742.01907058,3667145.3157610195
2021-09-22 00:00:00 UTC,2.998075673701757,52739554.92298134,5614625.104165322
2021-09-23 00:00:00 UTC,3.0136776171923545,50235191.04157363,5473366.548599036
2021-09-24 00:00:00 UTC,3.033013455567335,53326332.43273077,1408106.8944830592
2021-09-25 00:00:00 UTC,3.018493818925925,53058439.36351567,3154916.3817997007
2021-09-26 00:00:00 UTC,3.0277544141625747,53431371.235634334,1740974.4810908216
2021-09-27 00:00:00 UTC,2.999650793787196,53181713.8458882,2269289.013394911
2021-09-28 00:00:00 UTC,2.9883966592010864,52603414.71508802,1273166.0415666674
2021-09-29 00:00:00 UTC,2.9893154662715413,52594101.01521973,4396233.462136154
2021-09-30 00:00:00 UTC,3.024404286718197,52976917.052322626,3010008.631120805
2021-10-01 00:00:00 UTC,3.0403808768987695,54106654.41763569,18557709.058727406
2021-10-02 00:00:00 UTC,3.0457463297280816,55368307.19463272,10638935.317698853
2021-10-03 00:00:00 UTC,3.04381124437395,58304553.730914526,3686893.6767422897
2021-10-04 00:00:00 UTC,3.049757778367869,58452205.828821816,942741.6926700929
2021-10-05 00:00:00 UTC,3.057959211201432,58583398.76010378,1655291.0164806051
2021-10-06 00:00:00 UTC,3.041997131526716,59179875.215104945,5589106.285379735
2021-10-07 00:00:00 UTC,3.04942630578789,59632319.03474626,5388329.388035698
2021-10-08 00:00:00 UTC,3.0312140254464084,57121088.31130646,1094770.6303113473
2021-10-09 00:00:00 UTC,3.0439284921168954,58444936.8360184,5668060.638612885
2021-10-10 00:00:00 UTC,3.0451170554608895,60282377.755112216,3192082.1044886485
2021-10-11 00:00:00 UTC,3.0417153254852165,61493700.7233643,3870504.829484967
2021-10-12 00:00:00 UTC,3.060971950274756,62443049.68534797,4429147.0589634655
2021-10-13 00:00:00 UTC,3.05054668661603,67994952.23207736,2027098.1913600473
2021-10-14 00:00:00 UTC,3.0503193614065043,68917750.52517942,3469917.3126014243
2021-10-15 00:00:00 UTC,3.0440402871659513,68813552.10515553,3711516.344757651
2021-10-16 00:00:00 UTC,3.04996646355762,71094948.72919104,8274078.971697335
2021-10-17 00:00:00 UTC,3.040682666081476,70856195.25516076,5162696.327401027
2021-10-18 00:00:00 UTC,3.0399986389648452,71235272.99405172,2520595.2896863422
2021-10-19 00:00:00 UTC,3.036282472406784,72858792.03468536,5667183.304320468
2021-10-20 00:00:00 UTC,3.027008293758789,72862781.23602797,4927381.107560384
2021-10-21 00:00:00 UTC,3.039380736009944,75620794.90275855,5745800.0130638145
2021-10-22 00:00:00 UTC,3.0332094421504046,76618393.7762203,4866510.766995155
2021-10-23 00:00:00 UTC,3.046313451522433,77509650.33447817,6007280.048671716
2021-10-24 00:00:00 UTC,3.0494030057230814,78234814.64661756,4366794.324768192
2021-10-25 00:00:00 UTC,3.0431214708349827,78050037.33430567,1418832.2376815504
2021-10-26 00:00:00 UTC,3.045333014327237,78046650.78643693,906017.4753583707
2021-10-27 00:00:00 UTC,3.031535469996193,78566396.03774379,4012702.351877515
2021-10-28 00:00:00 UTC,3.0291081824198933,78463315.69580542,4407862.776843888
2021-10-29 00:00:00 UTC,3.040256884443075,78589685.70471224,4114896.1556709036
2021-10-30 00:00:00 UTC,3.0350621122576116,79580767.79474127,4435153.063040738
2021-10-31 00:00:00 UTC,3.0437092831213444,79953068.84121187,907963.3338335323
2021-11-01 00:00:00 UTC,3.0151497961593736,79325085.25258271,2214013.3455357775
2021-11-02 00:00:00 UTC,3.030754845566248,80082226.48802005,1670655.9375186688
2021-11-03 00:00:00 UTC,3.041102864556573,80707545.34416209,1083786.7939154133
2021-11-04 00:00:00 UTC,3.0363530242422003,81326551.79592021,3432196.4287732053
2021-11-05 00:00:00 UTC,3.0507166890036665,83534198.73514645,3916498.4789397637
2021-11-06 00:00:00 UTC,3.0358121894263985,83995322.27696472,1163682.976318498
2021-11-07 00:00:00 UTC,3.0407075227593294,88528614.14448255,5254670.993197907
2021-11-08 00:00:00 UTC,3.03441422065758,88445926.29750775,1011453.2774089415
2021-11-09 00:00:00 UTC,3.029015549264792,88926829.25950171,609236.4689252146
2021-11-10 00:00:00 UTC,3.0374955365934424,88693239.1114101,341394.28322026547
2021-11-11 00:00:00 UTC,3.037050870081105,97335681.45923217,1137894.7886098027
2021-11-12 00:00:00 UTC,3.029003430478942,98633697.80192146,1851796.2092090664
2021-11-13 00:00:00 UTC,3.0385064681068696,99118959.20030536,3333775.9611543524
2021-11-14 00:00:00 UTC,3.0237712400154475,98698701.55060412,300192.2032686946
2021-11-15 00:00:00 UTC,3.043312390658922,98637428.66092727,2786866.848516559
2021-11-16 00:00:00 UTC,3.030627154559873,98748557.7923545,1548718.6901627993
2021-11-17 00:00:00 UTC,3.031485047730987,96992660.38849513,4792941.620470241
2021-11-18 00:00:00 UTC,3.0416157919210542,96423955.97586845,3195506.6776633435
2021-11-19 00:00:00 UTC,3.013988793216815,82219171.46569073,2188620.5642653266
2021-11-20 00:00:00 UTC,3.0275746990204655,83641144.66390945,3017207.9763486525
2021-11-21 00:00:00 UTC,3.043096151278963,84560698.70380595,2499626.060499614
2021-11-22 00:00:00 UTC,3.04653703551396,84537570.30036697,1255016.885636734
2021-11-23 00:00:00 UTC,3.024971205319502,84082697.18850778,2552891.51472734
2021-11-24 00:00:00 UTC,3.022523482963911,83732293.00292563,1632676.7657221442
2021-11-25 00:00:00 UTC,3.023345521798512,84402498.81388924,3357332.4062734125
2021-11-26 00:00:00 UTC,3.0187676150912433,83599402.75732197,1044479.1870716778
2021-11-27 00:00:00 UTC,3.0214974368353498,83670201.14693138,2593629.403153159
2021-11-28 00:00:00 UTC,3.020926148492578,77790179.42974658,10271772.5642514
2021-11-29 00:00:00 UTC,3.0215032379349647,78254154.40594932,3295321.8512838166
2021-11-30 00:00:00 UTC,3.0094545214472093,77524316.69616646,3018472.3423958416
2021-12-01 00:00:00 UTC,3.005739409519007,77561929.31153208,12819174.421252916
2021-12-02 00:00:00 UTC,3.012399130625639,77756116.2557483,2781860.467024045
2021-12-03 00:00:00 UTC,3.0089580666722284,78321802.55031405,3977738.797860708
2021-12-04 00:00:00 UTC,3.0162927695817254,78647462.7249913,10618695.728443235
2021-12-05 00:00:00 UTC,3.004777635057163,76271339.16943343,6779808.311977698
2021-12-06 00:00:00 UTC,3.017502179389703,76712872.4439928,9830665.920746166
2021-12-07 00:00:00 UTC,3.01565710884668,79704556.01936996,7799773.016214495
